Activelyrecruiting,Title,Company,Link,Experience Level,Employee Count/Domain,Description,Skills
Actively recruiting,Data Analyst,"Pall Corporation · Maharashtra, India · 1 week ago",https://www.linkedin.com/jobs/view/3876166355/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=XGLhkEEXlLdfyRtRybNCJA%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.","5,001-10,000 employees · Manufacturing","About the job
Pall Microelectronics is looking for a Data Analyst who will generate actionable insights by analyzing complex data, to support the Leadership in fact-based decision making.

Key responsibilities include but not limited to:

Create data models and carry out statistical analysis on different data sets. Present results through suitable dashboards or other mediums in an easy-to-understand manner
Triangulate complex data to identify key trends / patterns and generate actionable insights based on the same.
Owner of SFDC reports and collaborate with Sales teams to ensure accuracy of data, present key trends in monthly meetings.
Identify gaps in data management and drive improvement/automation especially for routine tasks.
Serve as the point of contact for Business Unit/IT teams on key development initiatives.

Qualification

Bachelor's/ master’s degree with 5+ years of relevant experience
Proficiency with Excel is a must with hands on experience in data analysis tools. Ex. SQL, Power BI, etc
Good knowledge of Salesforce and should be comfortable creating Dashboards, Reports
Experience with using data to build narratives and presenting via power point.
Strong problem-solving skills with attention to detail
Ability to work independently and good written and verbal communication skills.

At Danaher we bring together science, technology and operational capabilities to accelerate the real-life impact of tomorrow’s science and technology. We partner with customers across the globe to help them solve their most complex challenges, architecting solutions that bring the power of science to life. Our global teams are pioneering what’s next across Life Sciences, Diagnostics, Biotechnology and beyond. For more information, visit www.danaher.com.

At Danaher, we value diversity and the existence of similarities and differences, both visible and not, found in our workforce, workplace and throughout the markets we serve. Our associates, customers and shareholders contribute unique and different perspectives as a result of these diverse attributes.",
Actively recruiting,Data Analyst,"Sweet Escape · Bengaluru, Karnataka, India · 1 day ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3885144178/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=kVD5c%2FPsPSLsVnd%2FkA5Beg%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.",11-50 employees,"About the job
We are seeking a highly motivated and detail-oriented Junior IT & Data Analyst to join our team. The ideal candidate will be a systematic thinker who is eager to learn and grow with our business. This role involves understanding and managing data to set weekly sales targets, collaborating with software engineers to develop systems for capturing key performance indicators (KPIs) and assisting team members with their technological and analytical needs to ensure smooth operations.

Key Responsibilities:
1. Data Analysis and Reporting:
 - Analyze data to publish accurate and timely weekly sales targets.
 - Interpret data and turn it into information that can offer ways to improve business, thus affecting business decisions.

2. System Development Collaboration:
 - Collaborate with software engineers to develop and implement systems for capturing and reporting on KPIs for each team.
 - Participate in the design and review of new data systems and enhancements to existing systems to ensure they meet business requirements.

3. Operational Support:
 - Work closely with software engineers to assist each team member in meeting their specific data and system requirements.
 - Provide technical support and guidance to team members to optimize their use of data systems for smoother operations.

4. Continuous Learning and Improvement:
 - Stay up-to-date with the latest technology trends and advancements relevant to data analysis and system development.
 - Actively seek out learning opportunities to enhance skills and knowledge in IT and data analytics.

Qualifications:
- Bachelor's degree in Information Technology, Computer Science, Data Analytics, or a related field.
- Strong understanding of data analysis and reporting.
- Familiarity with software development processes is a plus.
- Excellent problem-solving and analytical skills.
- Ability to work collaboratively in a team environment.
- Proficiency in English and Thai.
- Strong organizational and time management skills.
- A willingness to learn, adapt, and grow with the business.

The Perks of Being OUR Data Analyst:
Competitive salary and a benefits package that's sweeter than our pastries.
Be part of a team that's passionate about creating edible art forms.
Unleash your creativity and work with the power of data to streamline processes and autonomously establish systems.",
Actively recruiting,Data Analyst,TestGrid.io · India · 2 weeks ago · Over 100 applicants,https://www.linkedin.com/jobs/view/3868838002/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=skzpiEE3C1WLWx%2Bqly9m2w%3D%3D&trk=d_flagship3_search_srp_jobs,"Remote
Matches your job preferences, workplace type is Remote.
Full-time
Matches your job preferences, job type is Full-time.",51-200 employees,,
Actively recruiting,Data Analyst,"Varahe Analytics Private Limited · Bengaluru, Karnataka, India · 1 day ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3885135117/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=1uXohXmmLTnC5FvVY4kmXg%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Mid-Senior level",201-500 employees · Business Consulting and Services,,"['Data Analysis, Microsoft Excel, and Python (Programming Language)', 'Business Requirements, Data Integrity, Macros, Statistics, Technical Requirements, VBA Excel, and Visual Basic for Applications (VBA)']"
Actively recruiting,Data Analyst,"IntouchCX · Hyderabad, Telangana, India · 4 days ago",https://www.linkedin.com/jobs/view/3883037792/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=sA7QAfmmzCVdgCsde27Q%2BQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Full-time
Matches your job preferences, job type is Full-time.
Mid-Senior level","10,001+ employees · Outsourcing and Offshoring Consulting","About the job
About IntouchCX

IntouchCX is a global leader in customer experience management, digital engagement, and AI and automation solutions. We immerse ourselves in your world with curiosity, creativity, and innovation to deliver exceptional results. For over 20 years, we have scaled with soul to become a disruptive industry leader by building trusted long-term relationships with our brand partners and empowering our people to drive positive change.

To learn more about us and our culture, follow the link to Our Story - https://youtu.be/GinyJ-abWJs

About The Job

We are revolutionizing the way people perceive customer service, and we require your assistance! We are currently seeking a Data Analyst who will be responsible for analyzing and reporting on operational data in an effort to enhance program performance visibility. This role will also contribute to various projects and perform ad-hoc analyses to provide timely information and support for strategic decision-making.

 As Data Analyst, You Will… 

 Continuously monitor and evaluate data to identify areas for improvement or optimization 
 Identify patterns and trends in data to inform business decisions 
 Collect and organize large sets of data from various sources. 
 Analyze and interpret data using statistical methods and software 
 Stay up-to-date with industry trends and advancements in data analysis techniques 
 Develop and maintain databases and data systems to ensure accuracy and efficiency 
 Create reports and visualizations to communicate findings and insights to stakeholders 
 Collaborate with cross-functional teams to drive data-driven decision making 

 As Data Analyst, You Have… 

 A bachelor’s degree in a field such as Mathematics, Statistics, or Computer Science is preferred 
 The ideal candidate will have a minimum of 3 years of experience in an analyst role, preferably within a contact center environment 
 Experience in data analysis, data management, and reporting is required 
 Experience with maintaining and developing reporting tools is highly desirable 
 Strong proficiency in Excel and G-Suite applications, including Google Sheets, Docs, and Slides 
 Proficiency in fine-tuning data queries. Strong SQL skills and knowledge of SQL queries/SQL Server Integration Services (SSIS) are required 
 Familiarity with Dimensional Modeling design principles is a plus. Knowledge of data warehousing concepts and ETL processes is highly desirable 
 Strong analytical skills to be able to analyze complex data sets and draw meaningful insights from them 
 Knowledge of statistical methods and tools to build predictive models and perform statistical analysis 
 Excellent communication skills to be able to present findings and insights to stakeholders in a clear and concise manner 
 Attention to detail to ensure accuracy in data analysis and reporting 
 Ability to work with large data sets and databases 
 Knowledge of data visualization tools such Power BI to create visual representations of data 
 Understanding of business operations and objectives to align data analysis with business goals 
 Flexibility and adaptability to work in a fast-paced and constantly changing environment 
 Continuous learning and upskilling to stay up-to-date with the latest tools and technologies in the field of data analysis 

Apply Now",
Actively recruiting,Data Analyst,"Smiths Group plc · Bengaluru, Karnataka, India · 2 weeks ago",https://www.linkedin.com/jobs/view/3861706730/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=RrZQ9oR16Ih2vkpYHTae9g%3D%3D&trk=d_flagship3_search_srp_jobs,"Hybrid
Matches your job preferences, workplace type is Hybrid.
Full-time
Matches your job preferences, job type is Full-time.
Mid-Senior level","10,001+ employees · Industrial Machinery Manufacturing","About the job
Smiths Group designs, manufactures and delivers smarter engineering solutions for mission-critical applications, solving some of the world's toughest problems for our customers, our communities and our world. For over 170 years, Smiths Group has been pioneering progress by improving the world through smarter engineering.

We serve millions of people every year, to help create a safer, more efficient and better-connected world, across four major global markets: Energy, General Industry, Security & Defense, and Aerospace. Listed on the London Stock Exchange, Smiths employs 14,600 colleagues in over 50+ countries.

This pioneering spirit continues to drive us today, underpinned by our powerful culture. Improving our world is what we do, how we think, and how we will continue to use our passion for technology and engineering to tackle our customers biggest challenges today and in the future. We're looking for people with curious minds. Who want responsibility and relish a challenge. Whether you're an experienced professional or just starting out, our global scale and focus on growth means we have some great career opportunities for you. There's never been a better time to join Smiths.
Visit us at - www.smiths.com

Job Description
Working with functional leaders to capture data requirements and key indicators that are required to increase efficiency, profitability, and growth. Defining new data collection and analysis processes. Embed analytical process in organizational decision making, descriptive, diagnostic, and predictive analytics to drive better business outcomes. Working with functions such as Service, Operations, R&D & Innovation support in interpreting data and driving decision making. Working within Smiths Business Information services (BIS) helping to drive the adoption of a centralized standard of analytics solutions across Smiths Group and its divisions. Working as a resolver group and part of Smiths BIS - designing innovative analytics solutions as part of the “Data Analytical Team”. Roll out business solutions that enable Smiths to achieve the ‘minimum capability’ vision set by the Director of Applications and Analytics. Help to build and maintain operating models that optimize onshore and offshore resourcing to create the maximum value for Smiths Group.

Duties & Responsibilities
  Collecting, analyzing, and developing KPI’s to identify key insights such as trends, potential risks, opportunities
Communicating insights to stake holders, summarizing, and delivering content optimal for business decision making
Responsible for maintaining and helping to design / develop analytical tools and models within Smiths Business Information Services team
Responsible for maintaining integration of data sources with existing Smiths tools and processes
Help to build, test and deliver new analytics / models using the new data sets as required to underpin each use case
Ensure each analytics solution meets the business requirements and delivery business insight from the data

Skills and Experience
  5+ years of experience in Power BI, SQL, & Azure.
Good knowledge of SQL language and simple analysis techniques to profile data.
A good understanding of data Security and privacy technologies.
Experience in working with offshore and onshore support model.usiness
Experience of collation, interpretation, and analysis of multiple sources of data.
Business functional knowledge - able to work with Business SMEs to relate the process to the underlying data.
Nice to have ERP experience and implementations.
To find out more about life at Smiths check out our LinkedIn page (11) Smiths Group plc: Overview | LinkedIn and follow our story
Join us for a great career and competitive compensation & benefits whilst keeping the world a safer place.
 Diversity & Inclusion:
We believe that different perspectives and backgrounds are what make a company flourish. All qualified applicants will receive equal consideration for employment regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, economic status, disability, age, or any other legally protected characteristics. We are proud to be an inclusive company with values grounded in equality and ethics, where we celebrate, support, and embrace diversity.

At no time during the hiring process will Smiths Detection, Smiths Group, nor any of our recruitment partners ever request payment to enable participation – including, but not limited to, interviews or testing. Avoid fraudulent requests by applying jobs directly through our career’s website (Careers - Smiths Group plc) or LinkedIn.",
Actively recruiting,Data Analyst,"Titan Company Limited · Bengaluru, Karnataka, India · 3 days ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3886964437/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=k%2BohJlrpAXai76qwM4BjVQ%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Mid-Senior level","5,001-10,000 employees · Retail",,"['Analytical Skills', 'Business Operations, Business Solution, Corrective Actions, Financial Risk Management, Internal Audits, Regulatory Affairs, Risk Assessment, and Strategic Thinking']"
Actively recruiting,Data Analyst,"Movate · Bengaluru, Karnataka, India · 3 days ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3884856788/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=G%2FE3hNi3Cv2yRI11JiYIsQ%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Mid-Senior level","10,001+ employees · IT Services and IT Consulting",,
Actively recruiting,Data Analyst,"Vyapar · Bengaluru, Karnataka, India · 1 week ago",https://www.linkedin.com/jobs/view/3877283126/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=wo59A36vSv7VIkmyJfAFWQ%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Associate","501-1,000 employees · Financial Services",,
Actively recruiting,Data Analyst,"Crum & Forster · Bengaluru, Karnataka, India · 2 weeks ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3868419975/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=sYdLkaRu%2FuZfOT4VZl3DyQ%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Associate","1,001-5,000 employees · Insurance",,
Actively recruiting,Data Analyst,"SLB · Pune, Maharashtra, India · Reposted 2 weeks ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3832664354/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=JGN7c9jT7RhW68MGSaOndw%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Associate","10,001+ employees · Technology, Information and Internet","About the job
Job Title: Data Analyst 
 SLB Pune, Maharashtra, India (Hybrid) 
  About us: 
We are a global technology company, driving energy innovation for a balanced planet. Together, we create amazing technology that unlocks access to energy for the benefit of all. 
Our inclusive culture is the key to our success. We collaborate with our internal community of colleagues, alumni, and our valued external partners to support each other and achieve our goals. We aim to raise the bar high. We look for people who are committed to innovation and success and act with integrity to become and be a part of one of the most diverse group of experts in our industry, anywhere around the globe. 
Global in outlook, local in practice – and with a united, shared passion for discovering solutions, we hire talented, driven people and support them to succeed, personally and professionally. 
 About SLB Technical Services India (STSI): 
 SLB is committed to moving farther and faster in facilitating the world's energy needs today and forging the road ahead for the energy transition. STSI’s determination to transformation is the start of a journey towards a culture of continuous performance improvement. Over the years STSI has also developed key expertise and support roles in higher scale work both in business vertical (within a PG) and horizontal (across PGs). To position itself as a critical support center for EMS capable of strong value addition while also being recognized as having their own excellence in key services, STSI has identified the need to attain a recognition as a Center of Excellence (CoE). 
  For more details you may visit our Company’s Official site: www.slb.com 
   Job Responsibilities: 
Responsible for Power BI Report Development 
Developing and implementing visual reports, KPI scorecards, and dashboards using Power BI desktop. 
Keeping abreast of all data sources, importing data, and transforming data for Business intelligence. 
Monitoring and building Analysis Services reporting models. 
Developing effective communication skills to enable discussions about requirements effectively with the internal teams. 
Connecting data sources, importing data, and transforming data for Business intelligence 
Building an effective Analytical thinking for translating data into informative reports and visuals. 
Assist in designing and developing BI reports and for providing insights to improve decision-making. 
Responsible for data integration. 
Maintain data warehousing. 
Skills Required: 
Experience with Power BI, SQL, Data Analysis, DAX, Visualizations, MSSQL, SSMS, MYSQL, Oracle SQL. 
Excellent communication and collaboration skills. 
Knowledge of business intelligence. 
Knowledge on Modelling & database. 
Keep abreast of all technical aspects of BI tools. 
  Qualifications and Experience: 
 • BE/BTech in Computer Science or a related field. 
 • 3-5 Years experience in Power BI 
 • Experience with BI tools and systems such as Power BI 
 • Grip over data analytics 
 Other skills and abilities: 
Ability to work in globally distributed setting without supervision. 
Self-driven, Proactive. 
 This is a hybrid position, with the expectation to come into the office three days a week. 
  SLB as an employer: 
 As a leading employer in our industry, SLB is proud to offer a highly competitive package of base and incentive compensation as well as a comprehensive benefits program designed to support the health, wellness and financial security of our employees and their families. SLB is an equal employment opportunity employer. Qualified applicants are considered without regard to race, colour, religion, sex, national origin, age, disability, status as a protected veteran or other characteristics protected by law.",
Actively recruiting,SQL Data Analyst,"Astreya · Hyderabad, Telangana, India · 1 day ago",https://www.linkedin.com/jobs/view/3885118442/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=sjfh9Tl1rEQWGP8z2KwfOw%3D%3D&trk=d_flagship3_search_srp_jobs,"Hybrid
Matches your job preferences, workplace type is Hybrid.
Full-time
Matches your job preferences, job type is Full-time.
Mid-Senior level","1,001-5,000 employees · IT Services and IT Consulting",,
Actively recruiting,Data Analyst,"Simpl · Bengaluru, Karnataka, India · 1 week ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3877440254/?alternateChannel=search&refId=%2BMCEg5WOCDmOnV1oq%2B931A%3D%3D&trackingId=si45JqALbQOXWEdU1IlKbQ%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Mid-Senior level","501-1,000 employees · Consumer Services",,
